SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5028","2016-08-11 17:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.07","9343","NG/G DWT","1,2-BIS(2,4,6-TRIBROMOPHENOXY)ETHANE (BTBPE)","1,2-BIS(2,4,6-TRIBROMOPHÉNOXY)ÉTHANE (BTBPE)","V","2016-ON0249-0038",""
"ON02IS5028","2016-08-11 17:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.08","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0038",""
"ON02IS5335","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.081","9354","NG/G DWT","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHENYL ETHER (DPTE)","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (DPTE)","V","2016-ON0249-0065",""
"ON02IS5335","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.071","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0065",""
"ON02IS5335","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.071","9364","NG/G DWT","HEXACHLOROCYCLOPENTADIENYL-DIBROMOCYCLOOCTANE (HCDBCO)","HEXACHLOROCYCLOPENTADIÈNYL-DIBROMOCYCLOOCTANE (HCDBCO)","V","2016-ON0249-0065",""
"ON02IS5445","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.06","9354","NG/G DWT","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHENYL ETHER (DPTE)","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (DPTE)","V","2016-ON0249-0012",""
"ON02IS5445","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.07","9364","NG/G DWT","HEXACHLOROCYCLOPENTADIENYL-DIBROMOCYCLOOCTANE (HCDBCO)","HEXACHLOROCYCLOPENTADIÈNYL-DIBROMOCYCLOOCTANE (HCDBCO)","V","2016-ON0249-0012",""
"ON02IS5446","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.02","0.02","0.06","9354","NG/G DWT","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHENYL ETHER (DPTE)","2,3-DIBROMOPROPYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (DPTE)","V","2016-ON0249-0013",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.12","-0.13","<","0.024","0.024","0.081","9343","NG/G DWT","1,2-BIS(2,4,6-TRIBROMOPHENOXY)ETHANE (BTBPE)","1,2-BIS(2,4,6-TRIBROMOPHÉNOXY)ÉTHANE (BTBPE)","V","2016-ON0249-0073",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.07","-0.08","<","0.024","0.024","0.08","9343","NG/G DWT","1,2-BIS(2,4,6-TRIBROMOPHENOXY)ETHANE (BTBPE)","1,2-BIS(2,4,6-TRIBROMOPHÉNOXY)ÉTHANE (BTBPE)","V","2016-ON0249-0082",""
